time,frequency_mhz,width_khz,peak,diff
20180426_143127,79.384003,28.000000,-68.609367,5.791069
20180426_143127,80.615997,28.000000,-68.648125,5.766373
20180426_143129,79.841003,36.000000,-69.694626,4.872314
20180426_143129,81.158501,35.000000,-69.685745,4.923622
20180426_143131,80.320999,28.000000,-68.778481,5.716904
20180426_143131,81.679001,28.000000,-68.834999,5.654724
20180426_143132,80.792000,28.000000,-68.702393,5.718742
20180426_143132,82.208000,28.000000,-68.757401,5.674187
20180426_143134,81.271500,27.000000,-69.113289,5.673218
20180426_143134,82.728500,27.000000,-69.081154,5.721664
20180426_143136,81.753998,28.000000,-69.353271,5.560280
20180426_143136,83.246002,28.000000,-69.367966,5.550011
20180426_143138,83.760498,27.000000,-69.304207,5.996483
20180426_143139,84.272499,29.000000,-69.624237,5.775078
20180426_143141,84.786499,27.000000,-69.495918,6.303284
20180426_143143,83.702499,19.000000,-69.603325,6.786476
20180426_143143,85.296501,19.000000,-69.589523,6.696495
20180426_143144,84.198997,18.000000,-70.095764,6.297462
20180426_143144,85.799500,19.000000,-70.620499,5.730141
20180426_143146,84.698502,19.000000,-70.248665,6.093628
20180426_143146,86.300499,19.000000,-70.762123,5.540985
20180426_143148,85.196999,26.000000,-72.442581,3.882408
20180426_143148,86.800499,31.000000,-73.102859,3.162872
